rank,flag,ref,price_usd,mark_usd,mark_source,disc_vs_mark_pct,n_obs,retail_usd,vs_retail_pct,production,accessories,dealer,title,url
1,TARGET,332.10.41.51.11.001,6246,9951,engine,-37.2,5,,,unknown,FULL_SET,jackroad,オメガ OMEGA スピードマスター 57 コーアクシャル マスタークロノメーター クロノグラフ 332.10.41.51.11.001 新,https://item.rakuten.co.jp/jackroad/om1495/
2,TARGET,310.30.42.50.01.002,5250,6493,verified,-19.1,2,9000,-41.7,production,BOX_ONLY,exquisite,Omega 310.30.42.50.01.002 Speedmaster Moonwatch Professional Master Ch,https://www.exquisitetimepieces.com/products/omega-310-30-42-50-01-002-speedmaster-moonwatch-professional-master-chronograph-210000077852
3,TARGET,522.30.38.50.04.001,5735,7000,verified,-18.1,2,,,unknown,FULL_SET|AA_LIKE_NEW,kitamura,【中古】 【新品同様】 オメガ(OMEGA) スピードマスター ホワイト 522.30.38.50.04.001 ステンレススティール 20,https://item.rakuten.co.jp/emedama/2444860033460/
4,TARGET,14060,8315,9525,verified,-12.7,2,2800,197.0,discontinued,UNKNOWN|B_AVERAGE,kitamura,【中古】 【並品】 ロレックス(ROLEX) サブマリーナー ブラック 14060 ステンレス フチあり 【1年保証】,https://item.rakuten.co.jp/emedama/2403281021692/
5,TARGET,216570,8373,8861,verified,-5.5,3,8350,0.3,discontinued,PAPERS_ONLY|AB_GOOD,kitamura,【中古】 【良品】 ロレックス(ROLEX) エクスプローラーII ブラック 216570 ステンレス 【1年保証】,https://item.rakuten.co.jp/emedama/2403281142960/
6,,428.17.26.60.04.003,2268,3770,engine,-39.8,6,,,unknown,FULL_SET,okura,オメガ OMEGA デビル ミニ トレゾア 26mm 428.17.26.60.04.003 ホワイト ステンレススチール クオーツ レディ,https://ec.wb-ookura.com/products/2300045322081
7,,428.17.26.60.04.001,2386,3770,engine,-36.7,5,,,unknown,FULL_SET,bettyroad,オメガ OMEGA デ・ヴィル ミニ トレゾア 428.17.26.60.04.001 新品 時計 レディース,https://item.rakuten.co.jp/bettyroad/om1466/
8,,SBGC240,5866,9161,verified,-36.0,2,18600,-68.5,discontinued,BOX_ONLY,okura,セイコー SEIKO スプリングドライブ クロノグラフ SBGC240 ブラック ステンレススチール K18 SS メンズ 腕時計,https://ec.wb-ookura.com/products/2300040972328
9,,522.32.40.20.01.003,3297,4720,engine,-30.1,5,,,unknown,FULL_SET,jackroad,オメガ OMEGA シーマスター オリンピック オフィシャル タイムキーパー リミテッド 522.32.40.20.01.003 新品 時計,https://item.rakuten.co.jp/jackroad/om920/
10,,126283RBR,15638,22358,verified,-30.1,2,23500,-33.5,production,BOX_ONLY,rasin,PRICEDOWN ROLEX Datejust 36 Diamond Bezel 126283RBR Champagne 3-Row Oy,https://en.www.rasin.co.jp/SHOP/U-126283RBRCG-2.html
11,,279174,7561,10692,verified,-29.3,2,9150,-17.4,production,FULL_SET,okura,ロレックス ROLEX デイトジャスト28 279174 ホワイト ホワイトゴールド/ステンレススチール 自動巻き レディース 腕時計,https://ec.wb-ookura.com/products/2341950018607
12,,136660,10397,14299,verified,-27.3,2,15550,-33.1,production,FULL_SET,okura,ロレックス ROLEX ディープシー 136660 ブラック ステンレススチール 自動巻き メンズ 腕時計,https://ec.wb-ookura.com/products/2300046088931
13,,A17377,2325,3133,verified,-25.8,2,5600,-58.5,discontinued,FULL_SET,okura,ブライトリング BREITLING スーパーオーシャン オートマチック36 A17377 ライトブルー ステンレススチール 自動巻き メンズ,https://ec.wb-ookura.com/products/2300044265853
14,,126231,12098,16263,verified,-25.6,2,15450,-21.7,production,FULL_SET,okura,ロレックス ROLEX デイトジャスト36 126231 ホワイト ピンクゴールド/ステンレススチール 自動巻き メンズ 腕時計,https://ec.wb-ookura.com/products/2300046010574
15,,1680,13000,17420,engine,-25.4,9,,,unknown,UNKNOWN,craftandtailored,1979 Rolex Submariner (Ref. 1680) Mk. II Dial,https://www.craftandtailored.com/products/1979-rolex-submariner-ref-1689
16,,231.10.42.21.06.001,2686,3580,verified,-25.0,2,5500,-51.2,discontinued,UNKNOWN|AB_GOOD,kitamura,【中古】 【良品】 オメガ(OMEGA) シーマスター アクアテラ グレー 231.10.42.21.06.001 ステンレススティール 【,https://item.rakuten.co.jp/emedama/2245460007550/
17,,126201,11279,14926,verified,-24.4,2,15350,-26.5,production,FULL_SET,okura,ロレックス ROLEX デイトジャスト36 フルーテッドモチーフ 126201 シルバー ピンクゴールド/ステンレススチール メンズ 腕時計,https://ec.wb-ookura.com/products/2300045005991
18,,278344RBR,11272,14865,verified,-24.2,2,12950,-13.0,production,FULL_SET,bettyroad,ロレックス ROLEX デイトジャスト 31 278344RBR 中古 時計 ボーイズ,https://item.rakuten.co.jp/bettyroad/6267948/
19,,126331,12980,17111,verified,-24.1,2,17550,-26.0,production,FULL_SET,okura,ロレックス ROLEX デイトジャスト41 サンダスト 126331 サンダスト PG/SS メンズ 腕時計,https://ec.wb-ookura.com/products/2340980046635
20,,279173,10493,13583,verified,-22.8,2,12350,-15.0,production,FULL_SET,bettyroad,ロレックス ROLEX レディ デイトジャスト 28 279173 中古 時計 レディース,https://item.rakuten.co.jp/bettyroad/6333728/
