disappeared_on,ref,dealer,last_taxfree_usd,last_landed_usd,us_floor_at_the_time,pct_below_us,verdict_at_the_time,tier,title,url
2026-08-10,WSTA0030,kitamura,2693,2949,4123,28.5,BUY,B,【中古】 【良品】 カルティエ タンクソロ SM シルバー WSTA0030 ステンレススティール 【1年保証】,https://item.rakuten.co.jp/emedama/2245460009127/
2026-08-13,336938,commit,59715,65388,71722,8.8,BUY OPPORTUNITY,A,ロレックス スカイドゥエラー Ref.336938 イエローゴールド グリーン文字盤 美品 kzn24ozj,https://commit-watch.co.jp/products/kzn24ozj
2026-08-13,126610LV,commit,13703,15005,16195,7.3,BUY OPPORTUNITY,A,ロレックス サブマリーナー デイト Ref.126610LV ステンレススチール ブラック文字盤 美中古 wesykskz,https://commit-watch.co.jp/products/wesykskz
2026-08-13,126710BLNR,commit,18732,20511,18889,-8.6,PASS,A,ロレックス GMTマスターII Ref.126710BLNR ステンレススチール ブラック文字盤 ジュビリーブレスレット 未使用 areso,https://commit-watch.co.jp/products/areso7vg
2026-08-13,76080,rasin,3543,3879,3281,-18.2,PASS,A,ロレックス オイスターパーペチュアル 76080 ブラック 369ホワイトバー F番 中古 レディース,https://en.www.rasin.co.jp/SHOP/U-76080BK369-5.html
2026-08-13,116515LN,rasin,43600,47742,38357,-24.5,PASS,A,ROLEX Cosmograph Daytona 116515LN Chocolate Brown ×Black Random Number,https://en.www.rasin.co.jp/SHOP/U-116515LNCHBK-2.html
2026-08-13,16700,kitamura,10603,11610,10105,-14.9,PASS,B,【中古】 【良品】 ロレックス(ROLEX) GMTマスター ブラック 16700 ステンレス ブルー/レッドベゼル 【1年保証】,https://item.rakuten.co.jp/emedama/2441360018737/
2026-08-14,126713GRNR,rasin,21339,23367,27156,14.0,BUY OPPORTUNITY,A,PRICEDOWN ROLEX GMT Master II 126713GRNR Black Random Serial Number Us,https://en.www.rasin.co.jp/SHOP/U-126713GRNR-7.html
2026-08-14,279384RBR,kamekichi,15970,17487,19721,11.3,BUY OPPORTUNITY,A,デイトジャスト 28,https://www.kame-kichi.com/items/45531
2026-08-14,126610LN,rasin,12883,14107,15111,6.6,BUY OPPORTUNITY,A,PRICEDOWN ROLEX Submariner Date 126610LN Black Random Number Used Men',https://en.www.rasin.co.jp/SHOP/U-126610LN-23.html
2026-08-14,16520,rasin,40396,44234,31755,-39.3,PASS,A,SALE Rolex Cosmograph Daytona 16520 Black A Serial Unused Men&#39;s,https://en.www.rasin.co.jp/SHOP/S-16520BKDS.html
2026-08-14,126515LN,commit,80336,87968,109532,19.7,BUY,B,ロレックス デイトナ Ref.126515LN エバーローズゴールド メテオライト文字盤 未使用 yydbu68q,https://commit-watch.co.jp/products/yydbu68q
2026-08-15,124300,commit,7861,8608,10446,17.6,BUY,A,ロレックス オイスターパーペチュアル41 Ref.124300 ステンレススチール ブライトブルー文字盤 美中古 c8t3vggp,https://commit-watch.co.jp/products/c8t3vggp
2026-08-15,124060,rasin,12578,13773,16205,15.0,BUY,A,ROLEX Submariner No-Date 124060 Black Random Serial Number Used Men's ,https://en.www.rasin.co.jp/SHOP/U-124060-22.html
2026-08-15,126506,commit,117288,128431,141945,9.5,BUY OPPORTUNITY,A,ロレックス デイトナ Ref.126506 プラチナ アイスブルー文字盤 未使用 umbiyxs2,https://commit-watch.co.jp/products/umbiyxs2
2026-08-15,15210BC,commit,15848,17354,19002,8.7,BUY OPPORTUNITY,A,オーデマピゲ CODE 11.59 バイ オーデマ ピゲ Ref.15210BC.OO.A068CR.01 ホワイトゴールド スモークバーガ,https://commit-watch.co.jp/products/56dfphh9
2026-08-15,116503,rasin,20742,22712,24528,7.4,BUY OPPORTUNITY,A,ROLEX Cosmograph Daytona 116503 Champagne Random Number Used Men's,https://en.www.rasin.co.jp/SHOP/U-116503CH-5.html
2026-08-15,128235,rasin,51741,56656,58577,3.3,BUY OPPORTUNITY,A,PRICEDOWN Rolex Day Date 36 128235 Olive Green Roman Random Number Use,https://en.www.rasin.co.jp/SHOP/U-128235.html
2026-08-15,126613LN,rasin,16923,18531,18599,0.4,BUY OPPORTUNITY,A,ROLEX Submariner Date 126613LN Black Random Number Used Men&#39;s,https://en.www.rasin.co.jp/SHOP/U-126613LN-5.html
2026-08-15,126508,commit,84900,92966,70354,-32.1,PASS,A,ロレックス デイトナ Ref.126508 イエローゴールド グリーン文字盤 未使用 5u7tiey6,https://commit-watch.co.jp/products/5u7tiey6
2026-08-15,116689,rasin,37047,40567,29564,-37.2,PASS,A,"ROLEX Yacht Master II 116689 White, Random Serial Number, Used Men's W",https://en.www.rasin.co.jp/SHOP/U-116689-3.html
2026-08-15,5726A-001,commit,77354,84702,101830,16.8,BUY,B,パテックフィリップ ノーチラス アニュアルカレンダー ムーンフェイズ Ref.5726A-001 ステンレススチール ブラック文字盤 中古 ,https://commit-watch.co.jp/products/7e6yx222
2026-08-15,15300ST,commit,41507,45450,43903,-3.5,PASS,B,オーデマピゲ ロイヤルオーク Ref.15300ST.OO.1220ST.02 ステンレススチール ブルー文字盤 美中古 rzzpksay,https://commit-watch.co.jp/products/rzzpksay
2026-08-16,126610LV,commit,14087,15425,16195,4.8,BUY OPPORTUNITY,A,ロレックス サブマリーナー デイト Ref.126610LV ステンレススチール ブラック文字盤 未使用 pad963y4,https://commit-watch.co.jp/products/pad963y4
2026-08-16,128238,commit,50186,54953,56495,2.7,BUY OPPORTUNITY,A,ロレックス デイデイト36 Ref.128238 イエローゴールド グリーンオンブレ文字盤 未使用 o7nupex5,https://commit-watch.co.jp/products/o7nupex5
2026-08-16,126710GRNR,commit,20628,22587,22337,-1.1,BUY OPPORTUNITY,A,ロレックス GMTマスターII Ref.126710GRNR ステンレススチール ブラック文字盤 ジュビリーブレスレット 未使用 jiprg,https://commit-watch.co.jp/products/jiprgf9f
2026-08-16,126610LN,commit,14087,15425,15111,-2.1,BUY OPPORTUNITY,A,ロレックス サブマリーナー デイト Ref.126610LN ステンレススチール ブラック文字盤 未使用 vod6huvv,https://commit-watch.co.jp/products/vod6huvv
2026-08-16,126711CHNR,commit,21571,23620,21844,-8.1,PASS,A,ロレックス GMTマスターII Ref.126711CHNR ステンレススチール/エバーローズゴールド ブラック文字盤 オイスターブレスレッ,https://commit-watch.co.jp/products/3buqa5uo
2026-08-16,126720VTNR,commit,17609,19282,17628,-9.4,PASS,A,ロレックス GMTマスターII Ref.126720VTNR ステンレススチール ブラック文字盤 ジュビリーブレスレット 未使用 yud7b,https://commit-watch.co.jp/products/yud7bgcg
