pct_below_best,verdict,ref,dealer_country,landed_japan,usd_taxfree,best_alt,floor_venue,mark_usd,mark_conf,confidence,us_listings,accessories,dealer,title,japan_url,comp_url
43.1,BUY,130.23.41.22.06.001,JP,8223,7509,14454,Chrono24,13950,DERIVED,LOW,,FULL_SET,jackroad,オメガ OMEGA コンステレーション グローブマスター アニュアルカレンダー 130.23.41.22.06.001 新品 時計 メンズ,https://item.rakuten.co.jp/jackroad/om870/,
42.1,BUY,279173,JP,11530,10530,19929,Chrono24,13583,VERIFIED,C24 scrape,2,FULL_SET,jackroad,ロレックス ROLEX レディ デイトジャスト 28 279173 中古 時計 レディース,https://item.rakuten.co.jp/jackroad/6333728/,https://www.chrono24.com/rolex/datejust-28mm-unworn-2026-silver-diamond-fluted-oyster-279173--id47286139.htm
40.8,BUY,268655,JP,28668,26181,48454,Chrono24,22604,VERIFIED,C24 scrape n=1 THIN,1,UNKNOWN|AA_LIKE_NEW,kamekichi,ヨットマスター,https://www.kame-kichi.com/items/45048,https://www.chrono24.com/rolex/rolex-yacht-master-37--id45056726.htm
40.0,BUY,220.10.34.20.09.001,JP,4335,3959,7226,Chrono24,6882,DERIVED,LOW,,FULL_SET,jackroad,オメガ OMEGA シーマスター アクアテラ 220.10.34.20.09.001 中古 時計 男女兼用,https://item.rakuten.co.jp/jackroad/6353832/,
39.8,BUY,SBGP011,JP,1578,1442,2623,US grey,1790,VERIFIED,C24 research PARTIAL,5,UNKNOWN|AB_GOOD,kitamura,【中古】 【良品】 グランドセイコー クォーツ ブラック SBGP011/9F85-0AC0 ステンレススティール 【1年保証】,https://item.rakuten.co.jp/emedama/2448580014921/,
39.1,BUY,220.10.34.20.09.001,JP,4402,4020,7226,Chrono24,6882,DERIVED,LOW,,FULL_SET,bettyroad,オメガ OMEGA シーマスター アクアテラ 220.10.34.20.09.001 中古 時計 男女兼用,https://item.rakuten.co.jp/bettyroad/6353832/,
36.9,BUY,79830RB,JP,2866,2617,4544,Chrono24,3093,VERIFIED,C24 scrape n=1 THIN,1,UNKNOWN,kamekichi,ヘリテージ ブラックベイ GMT,https://www.kame-kichi.com/items/44231,https://www.chrono24.com/tudor/tudor-pre-owned-2025-black-bay-gmt-41mm-black-79830rb-0001--id44879481.htm
35.8,BUY,WSPA0012,JP,2777,2536,4325,Chrono24 US,3098,VERIFIED,C24 research PARTIAL,8,PAPERS_ONLY|AB_GOOD,kitamura,【中古】 【良品】 カルティエ パシャ シルバー WSPA0012 ステンレススティール 【1年保証】,https://item.rakuten.co.jp/emedama/2245460007628/,
34.2,BUY,WSTA0030,JP,2713,2478,4123,Chrono24,2305,DERIVED,C24 scrape n=1 THIN,1,FULL_SET|AB_GOOD,kitamura,【中古】 【良品】 カルティエ タンクソロ SM シルバー WSTA0030 ステンレススティール 【1年保証】,https://item.rakuten.co.jp/emedama/2245460009127/,https://www.chrono24.com/cartier/tank-solo--id46062840.htm
33.6,BUY,X83310F61B1S1,JP,1963,1793,2956,Chrono24,1668,DERIVED,C24 only,,FULL_SET,jackroad,ブライトリング BREITLING エンデュランス プロ X83310F61B1S1 新品 時計 メンズ,https://item.rakuten.co.jp/jackroad/br1602/,
33.2,BUY,126231,JP,13697,12509,20505,Chrono24,16263,VERIFIED,C24 scrape n=1 THIN,1,FULL_SET,rasin,Rolex Datejust 36 126231 White Bar 3 Rows Oyster bracelet Random Number Used Men&#39;s,https://en.www.rasin.co.jp/SHOP/U-126231WHB-2.html,https://www.chrono24.com/rolex/datejust-36--id47562193.htm
33.1,BUY,26240ST,JP,57325,52352,85733,Chrono24,53230,VERIFIED,C24 scrape n=1 THIN,1,UNKNOWN,commit,オーデマピゲ ロイヤルオーク クロノグラフ 50周年記念 Ref.26240ST.OO.1320ST.03 ステンレススチール シルバー文字盤 中古 ybm6evpa,https://commit-watch.co.jp/products/ybm6evpa,https://www.chrono24.com/audemarspiguet/new-2026-royal-oak-chronograph-41mm-26240st-blue-dial--id46685305.htm
33.0,BUY,79603,JP,4000,3653,5968,Chrono24 US,3275,VERIFIED,C24 research MAPPING,6,FULL_SET,bettyroad,チューダー(チュードル) TUDOR ヘリテージ ブラックベイ 31 79603-0002 新品 時計 レディース,https://item.rakuten.co.jp/bettyroad/tu614/,
32.1,BUY,116400,JP,9671,8832,14235,Chrono24,8750,VERIFIED,C24 scrape,4,UNKNOWN|A_EXCELLENT,commit,ロレックス ミルガウス Ref.116400 ステンレススチール ブラック文字盤 美品 9tkdfae8,https://commit-watch.co.jp/products/9tkdfae8,https://www.chrono24.com/rolex/milgauss-white-dial-on-oyster-bracelet-116400-open-date--id47680699.htm
32.1,BUY,116400,JP,9671,8832,14235,Chrono24,8750,VERIFIED,C24 scrape,4,UNKNOWN,commit,ロレックス ミルガウス Ref.116400 ステンレススチール ブラック文字盤 中古 e6wsdpmy,https://commit-watch.co.jp/products/e6wsdpmy,https://www.chrono24.com/rolex/milgauss-white-dial-on-oyster-bracelet-116400-open-date--id47680699.htm
32.1,BUY,215.30.44.21.01.001,JP,3791,3462,5585,Chrono24 US,4285,VERIFIED,LOW,,PAPERS_ONLY|A_EXCELLENT,kitamura,【中古】 【美品】 オメガ(OMEGA) シーマスター プラネットオーシャン ブラック 215.30.44.21.01.001 ステンレススティール/セラミック 【1年保証】,https://item.rakuten.co.jp/emedama/2245460007734/,
31.4,BUY,126000,JP,8579,7835,12510,Chrono24,9396,VERIFIED,C24 scrape,8,FULL_SET|A_EXCELLENT,kitamura,【中古】 【美品】 ロレックス(ROLEX) オイスターパーペチュアル 36 ブラック 126000 ステンレス OB 【1年保証】,https://item.rakuten.co.jp/emedama/2442390052661/,https://www.chrono24.com/rolex/rolex-unworn-126000-oyster-perpetual-36mm-med-blue-index-dial-oyster-bracelet-stainless-steel--id44319787.htm
31.1,BUY,220.10.41.21.03.001,JP,3791,3462,5501,Chrono24 US,4389,VERIFIED,C24 research,,FULL_SET|AB_GOOD,kitamura,【中古】 【良品】 オメガ(OMEGA) シーマスター ブルー 220.10.41.21.03.001 ステンレススティール 【1年保証】,https://item.rakuten.co.jp/emedama/2447910084627/,
30.8,BUY,220.10.41.21.03.001,JP,3806,3476,5501,Chrono24 US,4389,VERIFIED,C24 research,,FULL_SET|AB_GOOD,kitamura,【中古】 【良品】 オメガ(OMEGA) シーマスター ブルー 220.10.41.21.03.001 ステンレススティール 【1年保証】,https://item.rakuten.co.jp/emedama/2449230032142/,
30.6,BUY,116400GV,JP,10489,9579,15106,Chrono24,10575,VERIFIED,C24 scrape,2,PAPERS_ONLY|AB_GOOD,kitamura,【中古】 【良品】 ロレックス(ROLEX) ミルガウス ブラック 116400GV ステンレス 【1年保証】,https://item.rakuten.co.jp/emedama/2403281021753/,https://www.chrono24.com/rolex/2020-rolex-milgauss-116400gv-40mm-green-crystal-z-blue-dial-steel-box-paper--id47732886.htm
30.4,BUY,116400GV,JP,10512,9600,15106,Chrono24,10575,VERIFIED,C24 scrape,2,UNKNOWN|A_EXCELLENT,commit,ロレックス ミルガウス Ref.116400GV ステンレススチール ブラック文字盤 美品 478ce3ra,https://commit-watch.co.jp/products/478ce3ra,https://www.chrono24.com/rolex/2020-rolex-milgauss-116400gv-40mm-green-crystal-z-blue-dial-steel-box-paper--id47732886.htm
30.0,BUY,278344RBR,JP,12387,11312,17690,Chrono24,14865,VERIFIED,C24 only,,FULL_SET,jackroad,ロレックス ROLEX デイトジャスト 31 278344RBR 中古 時計 ボーイズ,https://item.rakuten.co.jp/jackroad/6267948/,
30.0,BUY,126283RBR,JP,19941,18211,28469,US AD,22358,VERIFIED,C24 research VARIANT RISK,8,FULL_SET,rasin,SALE Rolex Datejust 36 Bezel Diamond 10P Diamond 126283RBR Champagne Random Number Used Me,https://en.www.rasin.co.jp/SHOP/U-126283RBRCH.html,
